Phrase,Total Score,Sources,Type
the system,9.525602977543882,8,Requirement
shall be,8.911157944887856,7,Requirement
should be,5.384710306580357,7,Requirement
system shall,4.488525991615683,4,Requirement
the user,4.446074463466983,6,Requirement
in the,3.648346748444704,7,Requirement
will be,3.4351110328421353,4,Requirement
must be,2.8896847161223205,5,Requirement
can be,2.6183865564161266,4,Requirement
the application,2.534271387231967,3,Requirement
system provides,2.314557382083334,2,Requirement
ability to,2.2236532495782138,2,Requirement
the system shall,2.134519195208708,2,Requirement
at least,2.0967595977912614,3,Requirement
the following,1.545676361461753,2,Requirement
to the,1.3091853748875901,3,Requirement
and the,1.233462051094956,2,Requirement
this feature,1.1937637673233323,2,Requirement
be able to,1.1333105369778822,2,Requirement
be able,1.1333105369778822,2,Requirement
will not,1.0696332550277599,2,Requirement
may be,1.059186908014312,2,Requirement
access to,1.0039640160216645,2,Requirement
to provide,0.9874512128524068,2,Requirement
the computer system,0.9831977414440599,2,Requirement
the computer,0.9831977414440599,2,Requirement
able to,0.9795828114070644,2,Requirement
are not,0.9427660699982304,2,Requirement
computer system,0.9047339699567506,2,Requirement
shall provide,0.9014626867786297,2,Requirement
of the,-3.942258439526564,6,Non-requirement
this document,-3.380189281091948,7,Non-requirement
will be,-3.1435409323492296,7,Non-requirement
to the,-2.4943921660417105,5,Non-requirement
it is,-2.237742143411144,4,Non-requirement
with the,-1.8613113572959081,4,Non-requirement
the same,-1.6030510484214486,4,Non-requirement
functional requirements,-1.4396267025827834,4,Non-requirement
the system,-1.4333380938384295,3,Non-requirement
is the,-1.4050922690137893,3,Non-requirement
there is,-1.3697273350783938,3,Non-requirement
the library,-1.2151095896148756,2,Non-requirement
and the,-1.1848852363999125,3,Non-requirement
there are,-1.1648312154291434,2,Non-requirement
to be,-1.127570127402151,2,Non-requirement
the requirements,-1.1144654522497714,3,Non-requirement
system functions,-1.0533684813183695,2,Non-requirement
the following,-1.0470209067971852,2,Non-requirement
the project,-1.04571332976837,2,Non-requirement
customer service,-1.0253584603328,2,Non-requirement
staff who,-1.0094270951491995,2,Non-requirement
is an,-0.9910873470325267,2,Non-requirement
the srs,-0.9766669018364478,2,Non-requirement
will also,-0.9362798360153601,2,Non-requirement
is to,-0.9314756068255796,2,Non-requirement
for the,-0.9285303700715256,3,Non-requirement
software development,-0.9215695058703808,2,Non-requirement
the current,-0.839289925779876,2,Non-requirement
by the,-0.8041348071368924,2,Non-requirement
in this,-0.7720078756894931,2,Non-requirement
